"","subid","uuid","gender","trial_no","condition","test_trial","date_completed","age_in_weeks","exp_start","trial_duration","trial_start","trial_end","trial_start_video","trial_end_video","noun_image","noun_image_position","verb_image","verb_image_position","trial_audio"
"85","38864","57bb351b-d4c7-4c3e-9524-942f5aa414dc","f",9,"verb","76-test-trial-event-9","2021-03-19",1470,2021-08-19 15:23:08,8.008,2021-08-19 15:27:44,2021-08-19 15:27:52,275387.000083923,283391.000032425,"nup_noun","right","nup_verb","left","nup"
"86","38864","57bb351b-d4c7-4c3e-9524-942f5aa414dc","f",10,"verb","83-test-trial-event-10","2021-03-19",1470,2021-08-19 15:23:08,8.008,2021-08-19 15:28:13,2021-08-19 15:28:21,304161.000013351,312161.999940872,"dax_noun","right","dax_verb","left","dax"
"87","38864","57bb351b-d4c7-4c3e-9524-942f5aa414dc","f",11,"verb","91-test-trial-event-11","2021-03-19",1470,2021-08-19 15:23:08,8.007,2021-08-19 15:28:47,2021-08-19 15:28:55,338819.000005722,346821.000099182,"vash_noun","left","vash_verb","right","vash"
"88","38864","57bb351b-d4c7-4c3e-9524-942f5aa414dc","f",12,"verb","98-test-trial-event-12","2021-03-19",1470,2021-08-19 15:23:08,8.013,2021-08-19 15:29:16,2021-08-19 15:29:24,367486.999988556,375490.000009537,"smick_noun","right","smick_verb","left","smick"
"89","38934","83e6e02d-c0d4-4b5c-9e23-7695c0355256","m",9,"noun","76-test-trial-event-9","2021-03-19",1830,2021-08-19 18:46:35,8.038,2021-08-19 18:51:33,2021-08-19 18:51:41,298222.999811172,306225.999832153,"dax_noun","left","dax_verb","right","dax"
"90","38934","83e6e02d-c0d4-4b5c-9e23-7695c0355256","m",10,"noun","83-test-trial-event-10","2021-03-19",1830,2021-08-19 18:46:35,8.016,2021-08-19 18:52:03,2021-08-19 18:52:11,328375,336380.999803543,"nup_noun","left","nup_verb","right","nup"
"91","38934","83e6e02d-c0d4-4b5c-9e23-7695c0355256","m",11,"noun","91-test-trial-event-11","2021-03-19",1830,2021-08-19 18:46:35,8.021,2021-08-19 18:52:39,2021-08-19 18:52:47,363809.99994278,371812.99996376,"vash_noun","right","vash_verb","left","vash"
"92","38934","83e6e02d-c0d4-4b5c-9e23-7695c0355256","m",12,"noun","98-test-trial-event-12","2021-03-19",1830,2021-08-19 18:46:35,8.015,2021-08-19 18:53:08,2021-08-19 18:53:16,392924.999952316,400928.999900818,"smick_noun","right","smick_verb","left","smick"
"93","38979","805b5bc9-003a-49c0-adc3-409379d31b7b","f",9,"noun","76-test-trial-event-9","2021-03-19",1950,2021-08-19 21:10:55,8.011,2021-08-19 21:15:29,2021-08-19 21:15:37,273980.999946594,281981.999874115,"dax_noun","left","dax_verb","right","dax"
"94","38979","805b5bc9-003a-49c0-adc3-409379d31b7b","f",10,"noun","83-test-trial-event-10","2021-03-19",1950,2021-08-19 21:10:55,8.01,2021-08-19 21:15:57,2021-08-19 21:16:05,302434.000015259,310434.99994278,"nup_noun","right","nup_verb","left","nup"
